Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
PJS 9,Bandar Sunway,Selangor,Leasehold,Terrace House,940000,549,17
Trefoil,Setia Alam,Selangor,Freehold,Service Residence,300000,548,25
TAMAN BUKIT INDAH,Ulu Klang,Selangor,Leasehold,"Bungalow, Terrace House",717500,548,16
ELMINA EAST,Shah Alam,Selangor,Freehold,"Terrace House, Semi D",921500,547,36
BANDAR METRO PUCHONG,Puchong,Selangor,Leasehold,Terrace House,925000,547,28
AMBANG BOTANIC,Klang,Selangor,Freehold,"Semi D, Bungalow",1590000,546,58
The Peak Residences,Tanjong Tokong,Penang,Freehold,Condominium,570000,544,12
BANDAR DAMAI PERDANA,Cheras,Selangor,Freehold,Terrace House,775000,543,70
Green Acre,Bandar Sungai Long,Selangor,Freehold,Condominium,550000,543,32
GOODVIEW HEIGHTS,Kajang,Selangor,Freehold,"Terrace House, Town House",768800,542,67
SS19,Subang Jaya,Selangor,Freehold,"Terrace House, Semi D",505000,541,32
Le Yuan Residence,Jalan Klang Lama (Old Klang Road),Kuala Lumpur,Freehold,Condominium,840000,541,11
BK 5 - PERUMAHAN KINRARA,Bandar Kinrara,Selangor,Freehold,Terrace House,885000,540,32
The Vyne,Sungai Besi,Kuala Lumpur,Leasehold,Condominium,467500,540,12
SETIA IMPIAN 4,Setia Alam,Selangor,Freehold,Terrace House,705000,538,27
Mont Kiara Pines,Mont Kiara,Kuala Lumpur,Freehold,Condominium,695000,538,13
TAMAN ABADI HEIGHTS,Puchong,Selangor,Leasehold,"Semi D, Terrace House",756000,538,11
LUYANG PERDANA,Kota Kinabalu,Sabah,Leasehold,"Town House, Semi D, Terrace House",1040000,537,16
Molek Regency,Johor Bahru,Johor,Freehold,Service Residence,580000,536,46
USJ 6,Subang Jaya,Selangor,Freehold,Terrace House,694000,536,32
SETIA DAMAI 15,Setia Alam,Selangor,Freehold,Semi D,1490000,536,13
DESA PANTAI INDAH,Teluk Kumbar,Penang,Freehold,Terrace House,750000,536,10
TAMAN PONDEROSA,Johor Bahru,Johor,Freehold,Semi D,1110900,535,74
SETIA ECO PARK,Setia Alam,Selangor,Freehold,"Bungalow, Semi D",2450000,534,53
CAHAYA ALAM,Shah Alam,Selangor,Leasehold,Terrace House,1209750,533,16
KL Traders Square,Setapak,Kuala Lumpur,Freehold,Service Residence,500000,533,12
TAMAN ECO MEADOW,Simpang Ampat,Penang,Freehold,Terrace House,815000,533,10
SERENIA CITY,Dengkil,Selangor,Freehold,Terrace House,828888,532,75
Koi Kinrara,Puchong,Selangor,Freehold,Service Residence,560000,532,24
IDAMAN GRAND RESIDENCE/SENTOSA IDAMAN,Klang,Selangor,Freehold,Terrace House,1205000,532,10
PUSAT BANDAR PUCHONG,Puchong,Selangor,Freehold,Terrace House,762500,531,32
DANGA SUTERA,Skudai,Johor,Freehold,"Terrace House, Semi D",892000,531,17
Green Haven,Masai,Johor,Freehold,Service Residence,631950,530,39
TAMAN EKOFLORA,Tebrau,Johor,Freehold,"Terrace House, Cluster House",960000,530,21
AMVERTON HILLS SUNGAI BULOH,Sungai Buloh,Selangor,Freehold,"Semi D, Bungalow",1703888,529,26
SEKSYEN 5 - KOTA DAMANSARA,Kota Damansara,Selangor,Leasehold,Terrace House,930000,528,15
Tree Sparina,Bayan Lepas,Penang,Freehold,Condominium,639700,527,11
Palm Spring @ Damansara,Kota Damansara,Selangor,Leasehold,Condominium,530000,525,57
TAMAN ECO FLORA,Tebrau,Johor,Freehold,Terrace House,880000,523,32
D'Putra Suites,Senai,Johor,Freehold,Service Residence,528900,520,20
Nautica Lake Suites,Bandar Sunway,Selangor,Leasehold,Condominium,830000,520,11
OVERSEAS UNION GARDEN,Jalan Klang Lama (Old Klang Road),Kuala Lumpur,Freehold,"Bungalow, Terrace House",923000,519,41
NADA 4 @ NADA ALAM,Mantin,Negeri Sembilan,Freehold,Terrace House,800000,519,13
TEMPLER RESIDENCE,Rawang,Selangor,Freehold,Terrace House,837000,518,25
D'Piazza,Bayan Baru,Penang,Freehold,Condominium,485000,518,11
Mentari Court,Bandar Sunway,Selangor,Leasehold,Apartment,400000,516,66
The Seed,Skudai,Johor,Freehold,Apartment,650000,516,33
Casa Subang,Subang Jaya,Selangor,Freehold,Service Residence,550000,516,18
Sky View,Iskandar Puteri (Nusajaya),Johor,Freehold,Service Residence,410000,515,19
TAMAN DAYA,Kepong,Selangor,Leasehold,Terrace House,550000,515,13
TAMAN SRI ANDALAS (P/L 1014),Klang,Selangor,Freehold,Terrace House,620000,515,12
USJ 20,Subang Jaya,Selangor,Freehold,Terrace House,915000,515,11
BANDAR PUCHONG JAYA,Puchong,Selangor,Freehold,Terrace House,725000,513,74
USJ 11,Subang Jaya,Selangor,Freehold,Terrace House,900000,513,42
SETIA ECO GLADES,Cyberjaya,Selangor,Freehold,"Bungalow, Terrace House",1200000,513,21
TAMAN DATUK SENU,Sentul,Kuala Lumpur,Leasehold,"Terrace House, Cluster House",330000,513,14
Pangsapuri Cemara,Cheras,Kuala Lumpur,Leasehold,Apartment,377500,512,12
BANDAR BARU SRI PETALING,Sri Petaling,Kuala Lumpur,Leasehold,"Terrace House, Semi D",845000,511,63
DESA MAYANG SARI,Nilai,Negeri Sembilan,Freehold,Terrace House,718000,511,42
TAMAN PANDAN INDAH,Ampang,Selangor,Leasehold,"Terrace House, Town House",522500,511,38
D'ISLAND RESIDENCE,Puchong,Selangor,"Leasehold, Freehold",Terrace House,929000,510,13
Palmyra Residences,Bangi,Selangor,Freehold,Service Residence,432000,508,71
Tropez Residences,Johor Bahru,Johor,Freehold,Service Residence,395000,508,18
SS15,Subang Jaya,Selangor,Freehold,Terrace House,922500,508,12
PALM WALK,Bandar Sungai Long,Selangor,Freehold,Terrace House,748000,508,11
TAMAN PUTRA,Ampang,Selangor,Leasehold,"Semi D, Terrace House",420000,507,12
SETIA INDAH 11,Setia Alam,Selangor,Freehold,Terrace House,700000,507,11
ARC @ Austin Hills,Johor Bahru,Johor,Freehold,Service Residence,360000,506,31
TWIN PALM,Cheras,Selangor,Freehold,Bungalow,2700000,506,17
Pantai Hillpark 2,Pantai,Kuala Lumpur,Leasehold,Condominium,462500,506,14
Medini Signature,Iskandar Puteri (Nusajaya),Johor,Freehold,Condominium,814800,505,50
Akasia,Klang,Selangor,Freehold,Apartment,380000,505,27
PEARL IMPIANA,Simpang Ampat,Penang,Freehold,"Terrace House, Semi D",637000,504,18
TAMAN KOPERASI POLIS FASA 2,Batu Caves,Kuala Lumpur,Freehold,Terrace House,460000,504,14
Mkh Boulevard,Kajang,Selangor,Leasehold,Service Residence,299000,503,72
BANDAR JAYA PUTRA,Ulu Tiram,Johor,Freehold,Terrace House,620000,501,62
"KEMUNING UTAMA, SEKSYEN 32",Shah Alam,Selangor,Freehold,Terrace House,828000,501,21
TROPICANA DANGA COVE,Masai,Johor,Freehold,Terrace House,767500,501,20
HORIZON HILLS,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,1180000,500,171
TAMAN RIMBAYU,Tanjong Duabelas,Selangor,Leasehold,Terrace House,760000,500,28
TAMAN PANDAN JAYA,Ampang,Selangor,Leasehold,Terrace House,530000,500,11
USJ 4,Subang Jaya,Selangor,Freehold,Terrace House,915000,499,22
TAMAN EHSAN JAYA,Ulu Tiram,Johor,Leasehold,Terrace House,670000,499,13
TAMAN PELANGI INDAH,Tebrau,Johor,Freehold,Terrace House,904900,497,26
Pelangi Damansara 1,Bandar Utama,Selangor,Leasehold,Apartment,460000,497,13
BANDAR BUKIT RAJA,Kapar,Selangor,Freehold,Terrace House,793888,496,292
ALAM NUSANTARA,Setia Alam,Selangor,Freehold,Terrace House,872999,496,109
JADE HILLS,Kajang,Selangor,Freehold,"Semi D, Cluster House, Bungalow",2330000,495,29
PUCHONG HARTAMAS,Puchong,Selangor,Freehold,Terrace House,800000,495,13
TAMAN TAN SRI YAACOB,Skudai,Johor,Freehold,Terrace House,400000,495,12
Putra Majestik,Jalan Ipoh,Kuala Lumpur,Freehold,Service Residence,500000,494,16
One Imperial,Sungai Ara,Penang,Freehold,Condominium,575000,494,15
TAMAN AUSTIN DUTA,Tebrau,Johor,Freehold,"Terrace House, Cluster House",781000,493,92
The Z Residence,Bukit Jalil,Kuala Lumpur,Freehold,Condominium,628000,493,30
SEKSYEN 21,Petaling Jaya,Selangor,Freehold,"Terrace House, Bungalow",763000,493,23
One Foresta,Bayan Lepas,Penang,Freehold,Condominium,450000,492,21
Gravit8,Port Klang,Selangor,Freehold,Service Residence,380000,492,15
TAMAN SELAYANG UTAMA,Selayang,Selangor,Leasehold,Terrace House,684000,491,14
TAMAN MIDAH,Cheras,Kuala Lumpur,Freehold,Terrace House,815000,490,34
ALAM IMPIAN,Shah Alam,Selangor,Freehold,Terrace House,887800,488,99
BANDAR TROPICANA AMAN,Tanjong Duabelas,Selangor,Leasehold,"Semi D, Terrace House",1300000,488,25
TAMAN WANGSA PERMAI,Kepong,Selangor,Leasehold,Terrace House,737000,488,19
Zennith Suites (Pangsapuri Kebun Teh),Johor Bahru,Johor,Leasehold,Apartment,225000,488,11
UDA UTAMA,Johor Bahru,Johor,Freehold,Terrace House,809662,487,41
Gambier Heights,Gelugor,Penang,Freehold,Apartment,345000,486,16
Desa Bayan Apartment,Bayan Lepas,Penang,Freehold,Apartment,345000,486,16
NUSA SENTRAL,Iskandar Puteri (Nusajaya),Johor,Freehold,"Semi D, Terrace House",770000,485,49
Greenfield Regency,Tampoi,Johor,Freehold,Service Residence,391500,485,42
Paradiso Nuova (Merak Kayangan),Iskandar Puteri (Nusajaya),Johor,Freehold,Condominium,708000,485,12
TAMAN PANDAN PERDANA,Ampang,Selangor,Leasehold,Terrace House,722500,484,30
USJ 9,Subang Jaya,Selangor,Freehold,Terrace House,850000,484,17
DESA ARA,Sungai Ara,Penang,Freehold,Terrace House,815000,484,12
TAMAN MUTIARA BESTARI,Skudai,Johor,Freehold,"Cluster House, Semi D",1114310,483,114
BAYU SUTERA - PRECINCT 3B,Jimah,Negeri Sembilan,Freehold,Terrace House,675888,483,80
TAMAN MELAWATI,Ulu Klang,Selangor,Freehold,"Terrace House, Semi D",686000,483,51
BAYU SUTERA - PRECINCT 4A,Jimah,Negeri Sembilan,Freehold,Terrace House,700888,483,36
Centrio Avenue,Gelugor,Penang,Freehold,Apartment,330000,483,12
USJ 3,Subang Jaya,Selangor,Freehold,Terrace House,765000,482,46
Endah Regal Condominium,Sri Petaling,Kuala Lumpur,Leasehold,Condominium,550000,482,30
Cyber City Apartment 1,Penampang,Sabah,Freehold,Apartment,240000,480,35
Kiara Residence 2 (Residensi Kiara Jalil 2),Bukit Jalil,Kuala Lumpur,Leasehold,Condominium,585000,479,15
