Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
SS1 PETALING JAYA,Petaling Jaya,Selangor,Freehold,"Bungalow, Terrace House",1365000,310,18
Pangsapuri Saujana Permai 1,Kajang,Selangor,Freehold,Apartment,310000,310,14
TAMAN NIRWANA,Bukit Mertajam,Penang,Freehold,Terrace House,350000,310,11
TAMAN IMPIAN INDAH,Bukit Mertajam,Penang,Freehold,Terrace House,375000,310,11
SEKSYEN 29 SHAH ALAM,Shah Alam,Selangor,Leasehold,Terrace House,472800,309,118
TAMAN NUSA DAMAI,Pasir Gudang,Johor,Freehold,Terrace House,365000,309,28
SEKSYEN 8,Petaling Jaya,Selangor,Leasehold,"Terrace House, Semi D",600000,309,13
Desa Baiduri,Ayer Itam,Penang,Leasehold,Flat,190000,309,12
HIJAYU 3B,Bandar Sri Sendayan,Negeri Sembilan,Freehold,Terrace House,580000,309,11
TAMAN BENTONG MAKMUR,Bentong,Pahang,Freehold,Terrace House,460000,309,10
SEKSYEN 30 SHAH ALAM,Shah Alam,Selangor,Freehold,"Semi D, Terrace House",495000,308,140
TAMAN PELANGI INDAH,Ulu Tiram,Johor,Freehold,"Terrace House, Semi D",600000,308,73
Mahsuri Flat,Bayan Baru,Penang,Leasehold,Flat,156000,308,37
BUKIT ANGGERIK,Cheras,Kuala Lumpur,Leasehold,Terrace House,493000,308,18
Taman Larkin Idaman Plot C,Johor Bahru,Johor,Leasehold,Apartment,265000,308,12
TAMAN UNIVERSITI,Skudai,Johor,Freehold,Terrace House,394000,307,202
Desa Intan,Ayer Itam,Penang,Freehold,Flat,195000,307,16
TAMAN GUNUNG PULAI,Kulai,Johor,Freehold,Terrace House,318000,307,10
TAMAN SUTERA,Perling,Johor,Freehold,Terrace House,780000,306,39
TAMAN DESA HARMONI,Masai,Johor,Freehold,Terrace House,450000,306,34
PANORAMA LAPANGAN MUTIARA,Ipoh,Perak,Leasehold,Terrace House,435000,306,29
TAMAN MAWAR,Serendah,Selangor,Freehold,Terrace House,398040,306,24
TAMAN KELEMAK UTAMA,Alor Gajah,Melaka,Freehold,Terrace House,398760,306,23
D'Cassia,Semenyih,Selangor,Freehold,Apartment,260000,306,17
Bahagia Residences,Miri,Sarawak,Leasehold,Apartment,260000,306,14
D'Cerrum Apartment,Semenyih,Selangor,Freehold,Apartment,290000,306,13
BANDAR SERI ALAM,Masai,Johor,Freehold,Terrace House,496500,305,56
TAMAN MERU PERDANA,Ipoh,Perak,Freehold,Terrace House,406700,305,31
TAMAN EHSAN,Kepong,Selangor,Leasehold,Terrace House,505000,305,25
"P/L 2366, 2367, 3694, 3752 & 4169",Kuantan,Pahang,Freehold,Terrace House,468880,305,15
Miharja (LRT Maluri),Cheras,Kuala Lumpur,Leasehold,Flat,245000,305,11
SCIENTEX SUNGAI DUA,Tasek Gelugor,Penang,Freehold,Terrace House,331800,304,593
Straits View Condominium,Permas Jaya,Johor,Freehold,Condominium,495000,304,21
Taman LTAT,Bukit Jalil,Kuala Lumpur,Leasehold,Apartment,220000,304,15
Pinang Emas,Batu Ferringhi,Penang,Freehold,Apartment,170000,304,15
The Place @ Cyberjaya,Cyberjaya,Selangor,Freehold,Service Residence,170000,304,11
TAMAN MALURI,Cheras,Kuala Lumpur,Leasehold,Terrace House,780000,303,15
Indah,Butterworth,Penang,Freehold,Apartment,215000,303,14
Hillview Loft,Batu Pahat,Johor,Freehold,Condominium,320000,303,11
TAMAN KUCAI INDAH II,Lunas,Kedah,Freehold,"Semi D, Terrace House",490000,303,10
Taman Sri Tanjung,Semenyih,Selangor,Freehold,Apartment,296400,302,25
Selesa I Resort Apartment (Pangsapuri Damai Mewah B),Kajang,Selangor,Freehold,Apartment,290000,302,19
TABUAN HEIGHTS,Kuching,Sarawak,Freehold,Terrace House,700000,302,17
TAMAN JAYA UTAMA,Telok Panglima Garang,Selangor,Freehold,Terrace House,385000,302,16
Ivory Residence,Kajang,Selangor,Freehold,Condominium,390000,302,15
OFF JALAN TELOK GADONG,Klang,Selangor,Freehold,Terrace House,600000,302,13
The Wadihana,Johor Bahru,Johor,Freehold,Condominium,528000,302,11
TAMAN PELANGI,Semenyih,Selangor,Freehold,Terrace House,450000,301,21
Prima Setapak Flat,Setapak,Kuala Lumpur,Leasehold,"Flat, Condominium",350000,301,19
Pearl Avenue,Kajang,Selangor,Freehold,Condominium,330000,301,16
SEKSYEN 17 SHAH ALAM,Shah Alam,Selangor,"Freehold, Leasehold","Terrace House, Cluster House",416000,301,14
TAMAN SRI JAYA (SUNGAI PELIK),Sepang,Selangor,Freehold,Terrace House,598000,301,12
TAMAN TOK MUDA,Kapar,Selangor,Freehold,Terrace House,397000,300,31
TAMAN KOTA PERMAI,Bukit Mertajam,Penang,Freehold,"Terrace House, Semi D",470000,300,19
Seroja,Setia Alam,Selangor,Freehold,Flat,200000,300,12
TAMAN SERI WAWASAN 3,Teras,Pahang,Freehold,Terrace House,538000,299,15
Taman Perkasa,Hulu Langat,Selangor,Freehold,Flat,225000,299,15
TAMAN BUKIT PANCHOR,Nibong Tebal,Penang,Freehold,Terrace House,374160,299,12
TAMAN IDAMAN,Simpang Ampat,Penang,Freehold,"Semi D, Terrace House",495000,299,11
LEXVIEW,Ipoh,Perak,"Freehold, Leasehold",Terrace House,458880,298,38
TAMAN PEREPAT INDAH,Kapar,Selangor,Leasehold,Terrace House,371159,298,28
BANDAR TUN RAZAK,Cheras,Kuala Lumpur,Leasehold,"Terrace House, Cluster House",335000,298,14
Prestige III,Balik Pulau,Penang,Freehold,Apartment,192500,298,12
Genting Permai Resort,Bentong,Pahang,Freehold,Apartment,210000,298,11
BANDAR BARU KANGKAR PULAI,Kulai,Johor,"Freehold, Leasehold","Cluster House, Terrace House",553200,297,155
Pangsapuri Persiaran Tanjung,Tampoi,Johor,Leasehold,Apartment,285000,297,28
TAMAN SEJAHTERA (SPT),Bukit Mertajam,Penang,Freehold,Terrace House,350000,297,21
Petaling Indah Condominiums,Sri Petaling,Kuala Lumpur,Leasehold,Condominium,298850,297,14
TAMAN SELATAN,Klang,Selangor,Freehold,Terrace House,655000,296,14
VISTA IXORA,Ipoh,Perak,Leasehold,Terrace House,398380,296,12
TAMAN DESA,Muar,Johor,Freehold,Terrace House,490000,295,22
TAMAN TOK MUDA SEJAHTERA,Kapar,Selangor,Freehold,Terrace House,378000,295,14
TAMAN PUTERI WANGSA,Ulu Tiram,Johor,Freehold,Terrace House,450000,294,138
BANDAR SEBERANG JAYA,Seberang Jaya,Penang,Leasehold,Terrace House,280000,294,49
TAMAN TASEK GELUGOR UTAMA (SCIENTEX),Tasek Gelugor,Penang,Freehold,Terrace House,310000,294,15
SUNWAY CITY,Tambun,Perak,Leasehold,"Town House, Terrace House",608000,294,11
Widuri Apartment,Butterworth,Penang,Freehold,Apartment,220000,294,11
BANDAR TASIK KESUMA,Beranang,Selangor,Freehold,"Semi D, Town House, Terrace House",400000,293,64
TAMAN DATO HORMAT,Telok Panglima Garang,Selangor,Freehold,Terrace House,435000,293,34
TAMAN KAJANG UTAMA,Kajang,Selangor,Freehold,"Terrace House, Town House",410000,293,17
TAMAN SILIBIN RIA,Ipoh,Perak,Leasehold,"Terrace House, Semi D",515000,293,14
TAMAN JATI,Rawang,Selangor,Leasehold,Terrace House,300000,293,13
Pelangi Indah Condominium,Jalan Kuching,Kuala Lumpur,Freehold,Condominium,295000,293,12
TAMAN PUTRI KULAI,Kulai,Johor,Freehold,Terrace House,450000,292,78
BANDAR RINCHING,Semenyih,Selangor,Freehold,Terrace House,400000,292,51
Pangsapuri Sri Kemuning,Shah Alam,Selangor,Freehold,Apartment,220000,292,32
Seksyen 24 Shah Alam,Shah Alam,Selangor,Leasehold,Flat,185000,292,27
Sri Impian Apartment,Johor Bahru,Johor,Leasehold,Apartment,280000,292,23
TAMAN NESA,Skudai,Johor,"Freehold, Leasehold",Terrace House,380000,292,19
Mewah View Luxurious Apartments,Tampoi,Johor,Freehold,Apartment,400000,292,17
Sejati Ujana,Sandakan,Sabah,Leasehold,Apartment,200000,292,16
TAMAN BUKIT WANGSA SETIA,Ulu Bernam,Perak,Freehold,Terrace House,408000,292,13
PKNS Seksyen 24,Shah Alam,Selangor,Leasehold,Flat,212000,292,11
TAMAN BUKIT KEMPAS,Tampoi,Johor,Freehold,Terrace House,480000,291,43
TAMAN MERAK,Simpang Ampat,Penang,Freehold,Terrace House,297500,291,22
TAMAN PINGGIRAN PUTRA SEKSYEN 2,Seri Kembangan,Selangor,Leasehold,"Terrace House, Bungalow",590000,291,15
TAMAN ARA BAYU,Nilai,Negeri Sembilan,Freehold,Terrace House,378800,291,14
TAMAN KRUBONG HEIGHTS,Krubong,Melaka,Freehold,Terrace House,405800,290,57
Puncak Erskine,Tanjong Tokong,Penang,Freehold,Apartment,175000,290,24
TAMAN SEMENYIH INDAH,Semenyih,Selangor,Freehold,Terrace House,390000,290,13
TAMAN GEMILANG,Kulai,Johor,Freehold,Terrace House,488000,290,11
PANORAMA LAPANGAN PERDANA,Ipoh,Perak,Freehold,Terrace House,568000,289,35
Bandar Baru Uda,Johor Bahru,Johor,Leasehold,Flat,161500,289,16
TAMAN SRI SETIA,Johor Bahru,Johor,Freehold,"Terrace House, Semi D",738000,289,11
PUNCAK ALAM,Bandar Puncak Alam,Selangor,Leasehold,"Cluster House, Terrace House",400000,288,71
BANDAR SERI BOTANI,Simpang Pulai,Perak,"Freehold, Leasehold",Terrace House,448800,288,40
SPRINGVILLE @VICTORIA COUNTRY,Sitiawan,Perak,Freehold,Terrace House,435000,288,37
TAMAN DAHLIA,Tampoi,Johor,Leasehold,Terrace House,300000,288,26
Permata Apartment,Bukit Mertajam,Penang,Freehold,Apartment,180000,288,25
"ALAM SURIA, PUNCAK ALAM",Bandar Puncak Alam,Selangor,Leasehold,"Terrace House, Cluster House",522500,288,16
TAMAN BENTARA,Telok Panglima Garang,Selangor,Leasehold,Terrace House,455000,287,65
TAMAN SERI ANDALAS,Klang,Selangor,Leasehold,"Semi D, Terrace House",475000,287,30
Taman Bunga Negara,Shah Alam,Selangor,Freehold,Flat,207500,287,28
Vista Seri Melalin,Tuaran,Sabah,Leasehold,Apartment,290000,287,19
Sri Lavender Apartment,Kajang,Selangor,Freehold,Apartment,300000,287,15
Flat PKNS Seksyen 8,Shah Alam,Selangor,Leasehold,Flat,170000,287,13
De Tropicana,Kuchai Lama,Kuala Lumpur,Leasehold,Condominium,280000,287,11
Alpine Village,Tambun,Perak,Leasehold,Apartment,250000,287,11
TAMAN PERLING,Perling,Johor,Freehold,Terrace House,527500,286,152
TAMAN PUTERI JAYA,Batu Pahat,Johor,Freehold,"Semi D, Terrace House",468000,286,25
TAMAN SRI SERDANG,Seri Kembangan,Selangor,Leasehold,Terrace House,420000,286,24
TAMAN PUTRA PERDANA,Puchong,Selangor,Leasehold,Terrace House,450000,286,21
TAMAN TELUK GEDUNG INDAH,Klang,Selangor,Leasehold,Terrace House,382500,286,12
TAMAN FLORA HEIGHTS,Pasir Gudang,Johor,Freehold,Terrace House,497250,286,10
SENTRAL BEHRANG,Ulu Bernam,Perak,Leasehold,"Terrace House, Cluster House",398888,285,17
TAMAN COLONIAL,Raub,Pahang,Freehold,Terrace House,470000,285,16
Lily & Jasmine Apartment,Tampoi,Johor,Leasehold,Apartment,285000,285,11
Taman Ketiau,Penampang,Sabah,Leasehold,Flat,190000,284,19
TAMAN SATRIA JAYA,Kuching,Sarawak,Leasehold,Terrace House,580000,284,13
Cyber Heights Villa,Cyberjaya,Selangor,Freehold,Condominium,364315,284,12
Flat Taman Ungku Tun Aminah,Skudai,Johor,Freehold,Flat,140000,283,117
TAMAN SRI SKUDAI,Skudai,Johor,Freehold,Terrace House,400000,283,49
TAMAN GEMBIRA,Tampoi,Johor,Freehold,Terrace House,432500,283,20
HIJAYU 1,Bandar Sri Sendayan,Negeri Sembilan,Freehold,Terrace House,500000,283,16
TAMAN LANGAT UTAMA 3,Tanjong Duabelas,Selangor,Leasehold,Terrace House,410000,282,53
TAMAN SAUJANA UTAMA,Saujana Utama,Selangor,Leasehold,Terrace House,497500,282,30
Bandar Tasik Selatan (Low Cost),Bandar Tasik Selatan,Kuala Lumpur,Leasehold,Flat,190000,282,25
Seri Pauh,Bukit Mertajam,Penang,Leasehold,Flat,170000,282,14
TAMAN PARIT BAKAR INDAH-TR.149,Muar,Johor,Freehold,Terrace House,498000,282,11
TAMAN BIDARA,Bukit Mertajam,Penang,Freehold,Terrace House,279000,282,10
BANDAR TASIK PUTERI,Rawang,Selangor,Leasehold,Terrace House,400000,281,93
Putri Ria Apartment,Masai,Johor,Freehold,Apartment,265000,281,19
TAMAN SCIENTEX KULAI 2,Kulai,Johor,Freehold,"Terrace House, Cluster House",440000,281,17
TAMAN DESA DAMAI,Bukit Mertajam,Penang,Freehold,"Semi D, Terrace House",499800,281,15
Desa Skudai Apartment,Skudai,Johor,Freehold,Apartment,330000,281,13
Flat Taman Alam Megah,Shah Alam,Selangor,Freehold,Flat,169000,280,18
Vista Bayu,Klang,Selangor,Freehold,Apartment,300000,280,11
TAMAN RINTING,Masai,Johor,Freehold,Terrace House,430000,279,111
BANDAR BARU UDA,Johor Bahru,Johor,"Leasehold, Freehold",Terrace House,500000,279,78
TAMAN SAUJANA MANJUNG,Sitiawan,Perak,Leasehold,"Semi D, Terrace House",329890,279,45
TAMAN WARISAN PUTERI,Ampangan,Negeri Sembilan,Freehold,"Semi D, Terrace House, Cluster House",433680,279,33
TAMAN KLEBANG RIA,Chemor,Perak,Freehold,Terrace House,398800,279,27
SEKSYEN 4 BANDAR BARU BANGI,Bangi,Selangor,Leasehold,"Terrace House, Bungalow",535000,279,26
TAMAN HILIR,Melaka City,Melaka,Freehold,Terrace House,430000,279,17
TAMAN KOTA LAKSAMANA SEKSYEN 1,Melaka City,Melaka,Leasehold,"Town House, Terrace House",470000,279,15
Genting Court Condominium,Setapak,Kuala Lumpur,Leasehold,Condominium,204500,279,14
Petrie Condominium,Johor Bahru,Johor,Freehold,Condominium,499000,279,11
TAMAN AMANAH,Tanjong Duabelas,Selangor,Freehold,Terrace House,425000,278,15
TAMAN CRESCENTIA,Batu Kawan,Penang,Leasehold,"Cluster House, Terrace House",350000,278,13
TAMAN SRI SENAI,Senai,Johor,Freehold,Terrace House,280000,278,10
TAMAN SEPADU JAYA (D'HALONA PLACE),Penaga,Penang,Freehold,Terrace House,307000,277,141
HIJAYU 3,Bandar Sri Sendayan,Negeri Sembilan,Freehold,Terrace House,505000,277,16
TAMAN PAHLAWAN,Telok Panglima Garang,Selangor,Freehold,"Semi D, Terrace House",365000,277,11
BANDAR SUNWAY SEMENYIH,Semenyih,Selangor,Freehold,Terrace House,561000,277,10
Ladang Tok Pelam,Kuala Terengganu,Terengganu,Leasehold,Apartment,232000,276,28
TAMAN BUKIT GALENA,Seremban,Negeri Sembilan,Freehold,"Terrace House, Semi D",492500,276,24
P/L 174132 INDERA MAHKOTA,Kuantan,Pahang,Freehold,Terrace House,392000,276,14
TAMAN CEMPAKASARI,Kapar,Selangor,Leasehold,Terrace House,360000,276,11
BANDAR PUTRA BERTAM,Kepala Batas,Penang,Freehold,"Terrace House, Cluster House",350000,275,38
TAMAN MELODIES,Johor Bahru,Johor,Freehold,"Semi D, Bungalow",980000,275,29
TAMAN KOTA SELESA,Kota Tinggi,Johor,Freehold,Terrace House,424150,275,28
Saujana Apartment,Damansara Damai,Selangor,Leasehold,Apartment,220000,275,17
TAMAN BERKELEY,Kapar,Selangor,Freehold,"Bungalow, Terrace House",540000,275,13
Taman Pandan Cahaya,Ampang,Selangor,Leasehold,Flat,170000,275,12
RESIDENSI MERBOK,Nibong Tebal,Penang,Freehold,"Semi D, Bungalow",960000,274,55
TAMAN SALAK IDAMAN,Sepang,Selangor,Freehold,Terrace House,396500,274,18
OFF JALAN MERU,Klang,Selangor,Freehold,Terrace House,500000,274,17
VISION HOMES,Seremban 2,Negeri Sembilan,Freehold,Cluster House,550000,274,14
SRI AWANA,Skudai,Johor,Freehold,Town House,280000,274,12
JALAN STAMPIN,Kuching,Sarawak,Leasehold,"Bungalow, Semi D",865000,274,10
TAMAN PASIR PUTIH,Pasir Gudang,Johor,Freehold,Terrace House,375000,273,50
TAMAN TERATAI,Kulai,Johor,Freehold,Terrace House,330000,273,45
TAMAN SRI PULAI,Kulai,Johor,Freehold,Terrace House,380000,273,35
Flat Taman Perling,Perling,Johor,Freehold,Flat,150000,273,31
TAMAN MAWAR,Sandakan,Sabah,Leasehold,Terrace House,325000,273,24
BANDAR BARU TAMBUN(TAMBUN PERMAI),Tambun,Perak,Leasehold,Terrace House,427500,273,12
TAMAN SERI DAGANG 1,Banting,Selangor,Freehold,Terrace House,390900,273,12
KOTA PUTERI BANDAR BARU BATU ARANG,Batu Arang,Selangor,Leasehold,Terrace House,590000,272,59
SCIENTEX SEREMBAN,Seremban,Negeri Sembilan,Freehold,Terrace House,380000,272,44
Taman Terubong Jaya,Ayer Itam,Penang,Leasehold,Flat,165000,272,34
POLO PARK,Johor Bahru,Johor,Freehold,Town House,320000,272,20
TAMAN PERMATA PENAWAR,Pengerang,Johor,Leasehold,Terrace House,386200,272,17
DESA BUKIT BERLIAN,Kapar,Selangor,Leasehold,"Semi D, Terrace House",446635,272,12
TAMAN SERI JAROMAS,Jenjarom,Selangor,Freehold,"Semi D, Terrace House",790000,272,12
TAMAN DESA ANUGERAH,Sepang,Selangor,Leasehold,Terrace House,381000,272,11
TAMAN TIONG UNG SIEW,Sibu,Sarawak,Leasehold,Terrace House,480000,272,10
PRIMA D'MARINA,Kuantan,Pahang,Leasehold,Terrace House,431167,271,82
TAMAN SRI SAUJANA,Kota Tinggi,Johor,Freehold,Terrace House,380000,271,54
BERTAM PERDANA 2 - LAKEVIEW,Kepala Batas,Penang,Freehold,"Terrace House, Bungalow",618744,271,28
TAMAN SERI KIJANG,Bukit Mertajam,Penang,Freehold,Terrace House,311500,271,14
Flat Danau Kota,Setapak,Kuala Lumpur,Leasehold,Flat,190000,271,12
BANDAR TASEK MUTIARA,Simpang Ampat,Penang,Freehold,Terrace House,425000,270,58
"TAMAN MELATI INDAH, PUNDUT",Lumut,Perak,Freehold,Terrace House,420000,270,29
DESA PARK CHEMOR,Ipoh,Perak,Freehold,Cluster House,338000,270,26
BANDAR TASIK IDAMAN,Batu Gajah,Perak,Leasehold,Terrace House,440300,270,26
BANDAR BARU BARAT,Kampar,Perak,Leasehold,Terrace House,300000,270,16
TAMAN PULASAN,Alor Setar,Kedah,Freehold,"Terrace House, Bungalow",561200,270,13
TAMAN MANGGIS JAYA,Banting,Selangor,Freehold,"Terrace House, Semi D",442500,270,12
TAMAN KULIM SQUARE,Lunas,Kedah,Freehold,Semi D,445000,270,10
TAMAN JENJAROM PERMAI,Tanjong Duabelas,Selangor,"Leasehold, Freehold",Terrace House,414973,269,14
BANDAR TEKNOLOGI,Kajang,Selangor,Freehold,Terrace House,370000,269,13
Lok Kawi Heights,Papar,Sabah,Leasehold,Apartment,210000,269,13
TAMAN JATI,Batu Berendam,Melaka,"Freehold, Leasehold",Terrace House,380000,269,11
TAMAN SUTERA,Kulai,Johor,Freehold,Terrace House,360000,268,17
TAMAN SERI BAYU 2,Sungai Lalang,Kedah,Freehold,Terrace House,320000,268,14
Selesa Puteri Condominium,Skudai,Johor,Freehold,Condominium,271000,268,14
TAMAN AMANSARA (AMANSARA SOUTH),Kepala Batas,Penang,Freehold,Terrace House,481287,268,12
TAMAN IMPIAN ALMA,Bukit Mertajam,Penang,Freehold,Terrace House,400000,268,11
EKA HEIGHTS - PRECINCT 3B,Labu,Negeri Sembilan,Freehold,Terrace House,400000,267,87
EKA HEIGHTS - PRECINCT 3A,Labu,Negeri Sembilan,Freehold,Terrace House,380000,267,78
BUKIT BANYAN,Sungai Petani,Kedah,Freehold,"Town House, Terrace House, Semi D",499900,267,51
TAMAN KERIAN SENTOSA,Parit Buntar,Perak,Leasehold,Terrace House,368800,267,50
DESA LAHAT SRI -WANG,Lahat,Perak,Leasehold,Terrace House,318880,267,21
Park Avenue,Tampoi,Johor,Leasehold,Apartment,183750,267,18
BANDAR PUNCAK SENA,Pokok Sena,Kedah,Freehold,Terrace House,326800,267,11
MUTIARA RESIDENCE,Jitra,Kedah,Freehold,"Terrace House, Semi D",410400,267,11
Flat Bukit Indah,Iskandar Puteri (Nusajaya),Johor,Freehold,Flat,200000,266,17
Sri Panglima,Johor Bahru,Johor,Leasehold,Apartment,240000,265,20
TAMAN CHAI LENG,Perai,Penang,Freehold,Terrace House,490000,265,19
Seri Maju & Sepangar Ria,Kota Kinabalu,Sabah,Leasehold,Apartment,172000,265,15
BANDAR LAGUNA MERBOK (TERES),Sungai Petani,Kedah,Freehold,Terrace House,400000,264,57
TIMUR,Bandar Enstek,Negeri Sembilan,Freehold,Terrace House,570000,264,23
Taman Pandan Indah,Ampang,Selangor,Leasehold,Flat,175000,264,23
Taman Tun Teja,Rawang,Selangor,Leasehold,Flat,215000,264,16
TAMAN KESANG MAWAR,Muar,Johor,Freehold,Terrace House,485000,264,14
TAMAN GAMELAN INDAH,Sungai Bakap,Penang,Freehold,"Terrace House, Semi D",408000,264,11
TAMAN PULAI BAYU,Skudai,Johor,Freehold,"Semi D, Cluster House",900000,264,11
Stulang Laut,Johor Bahru,Johor,Leasehold,Flat,200000,264,11
TAMAN LUMUT MEWAH 2,Lumut,Perak,Freehold,Terrace House,418800,263,21
Bukit Cheras,Cheras,Kuala Lumpur,Freehold,Flat,160000,263,18
Casa Ria Apartment,Rawang,Selangor,Freehold,Apartment,210000,263,13
MEDAN LAPANGAN CYBER,Ipoh,Perak,Leasehold,"Terrace House, Town House",434500,263,12
MERLIN GARDEN,Kota Samarahan,Sarawak,Leasehold,Terrace House,571500,263,12
Taman Telipok Ria Fasa 1 & Fasa 2,Tuaran,Sabah,Leasehold,Apartment,160000,263,12
Taman Daya - Jalan Nibong 28,Tebrau,Johor,Freehold,Flat,150000,263,11
BUKIT SAUJANA,Ijok,Selangor,Leasehold,"Semi D, Terrace House",700000,263,10
TAMAN PINGGIR PENGKALAN PERMAI,Ipoh,Perak,Freehold,Cluster House,688000,262,38
TAMAN WARISAN HIJAUAN,Dengkil,Selangor,"Leasehold, Freehold",Terrace House,493000,261,17
TAMAN DESA RISHAH INDAH,Ipoh,Perak,Leasehold,Terrace House,449000,261,10
BERTAM PERDANA,Kepala Batas,Penang,Freehold,"Cluster House, Terrace House",310000,260,55
TAMAN SENAI UTAMA,Kulai,Johor,Freehold,Terrace House,420000,260,19
KOTA WARISAN,Dengkil,Selangor,Freehold,"Semi D, Terrace House",500000,260,19
TAMAN DESA CEMERLANG,Batu Pahat,Johor,Freehold,Terrace House,439800,260,11
Ria 2 Apartment,Masai,Johor,Freehold,Apartment,210000,260,11
Frinza Court,Johor Bahru,Johor,Freehold,Apartment,350000,260,11
TAMAN JOHOR,Tampoi,Johor,Freehold,"Terrace House, Bungalow",500000,259,19
Taman Desa Ilmu,Kota Samarahan,Sarawak,Leasehold,"Apartment, Flat",170000,259,18
Pangsapuri Palma,Klang,Selangor,Freehold,Apartment,170000,259,15
Ixora Apartment,Bukit Baru,Melaka,Freehold,Apartment,332500,259,14
Bercham Prima (Ipoh Kiara),Ipoh,Perak,Leasehold,Condominium,315000,259,14
TAMAN PUTERA INDAH,Muar,Johor,Freehold,"Terrace House, Semi D",560000,259,11
TAMAN SAGA,Senai,Johor,Freehold,Terrace House,270000,259,11
TANJUNG PUTERI RESORT,Pasir Gudang,Johor,Freehold,"Bungalow, Terrace House",397800,258,135
BANDAR MAHKOTA BANTING (BANDAR BARU BROOKLANDS),Tanjong Duabelas,Selangor,Freehold,Terrace House,400000,258,102
TAMAN TASIK INDAH,Kluang,Johor,Freehold,Terrace House,614000,258,58
TAMAN SRIKANDI,Telok Panglima Garang,Selangor,Leasehold,"Semi D, Terrace House",454220,258,35
TAMAN KIARA,Kuala Selangor,Selangor,Freehold,Terrace House,308000,258,27
"Taman Daya - Jalan Pinang 3, 4",Tebrau,Johor,Freehold,Flat,150000,258,13
Bukit OUG Condominiums,Bukit Jalil,Kuala Lumpur,Freehold,Condominium,320000,258,13
Residensi Warnasari 3,Bandar Puncak Alam,Selangor,Leasehold,Apartment,185000,257,17
Taman Sri Sentosa,Jalan Klang Lama (Old Klang Road),Kuala Lumpur,Leasehold,Flat,180000,257,15
TAMAN ISKANDAR,Johor Bahru,Johor,Freehold,"Bungalow, Semi D, Terrace House",744000,257,12
TAMAN INDAH JAYA,Sandakan,Sabah,Leasehold,Terrace House,395000,256,28
TAMAN BUKIT CHENG,Cheng,Melaka,Freehold,Terrace House,370000,256,26
TAMAN TELUK VILLA,Penampang,Sabah,Leasehold,Terrace House,432500,256,12
KINGFISHER PARK PH2,Kota Kinabalu,Sabah,Leasehold,"Semi D, Terrace House",950000,256,11
TAMAN DELIMA,Tebrau,Johor,"Leasehold, Freehold","Terrace House, Semi D",425000,256,10
TAMAN INTAN MAS I & III,Teluk Intan,Perak,"Leasehold, Freehold",Terrace House,476888,255,15
Suria Kinrara,Bandar Kinrara,Selangor,Leasehold,Service Residence,181500,255,12
TAMAN SEMENTA PERMAI,Kapar,Selangor,Freehold,Terrace House,358000,254,45
Farlim 4,Ayer Itam,Penang,Freehold,Flat,130000,254,37
SCIENTEX IPOH - BEGONIA,Ipoh,Perak,Freehold,Terrace House,296800,254,14
TAMAN HUI SING,Kuching,Sarawak,Leasehold,Terrace House,722500,254,12
E-RESIDENCE,Kuching,Sarawak,Leasehold,Terrace House,600000,254,11
TAMAN BANANG HEIGHTS,Batu Pahat,Johor,Freehold,Terrace House,410000,254,11
SEKSYEN 4,Petaling Jaya,Selangor,Leasehold,"Bungalow, Terrace House",1237500,254,10
TAMAN PUNCAK CERIA (IDAMAN HILLS),Kluang,Johor,Freehold,Terrace House,538000,253,57
TAMAN BUKIT PERDANA,Batu Pahat,Johor,Freehold,Terrace House,390000,253,46
Desa Satu,Kepong,Selangor,Freehold,Flat,166500,253,20
TAMAN AMAN,Kulai,Johor,Freehold,Terrace House,280000,253,15
TAMAN MENARA MAJU,Klang,Selangor,Freehold,Terrace House,400000,253,13
Batu Caves Centerpoint,Batu Caves,Selangor,Freehold,Flat,170000,253,11
PULAU INDAH,Klang,Selangor,Freehold,Terrace House,350000,252,122
TAMAN PULAI MUTIARA 2,Skudai,Johor,Freehold,"Terrace House, Cluster House",564230,252,88
BANDAR CYBER IPOH,Ipoh,Perak,Leasehold,Semi D,609000,252,34
TAMAN DESARU UTAMA,Pengerang,Johor,Leasehold,"Terrace House, Semi D",330000,251,26
BANDAR SULTAN SULAIMAN,Kapar,Selangor,Leasehold,Terrace House,260000,251,24
Taman Cendana,Pasir Gudang,Johor,Leasehold,Flat,130000,251,24
TAMAN SERI RANTAU,Kapar,Selangor,Freehold,Terrace House,410000,251,14
TAMAN SINTAR INDAH,Nibong Tebal,Penang,Freehold,"Terrace House, Semi D",340000,251,13
TAMAN SETIA RESIDEN,Sitiawan,Perak,Freehold,"Terrace House, Semi D",499000,251,12
TAMAN ILMU,Nibong Tebal,Penang,Freehold,"Terrace House, Cluster House",310500,251,10
TAMAN RAUB JAYA 3,Raub,Pahang,Freehold,Terrace House,272500,251,10
TAMAN IPOH JAYA,Ipoh,Perak,Leasehold,Terrace House,234000,250,18
ANDARI TOWNVILLA 1 & GARDENVILLE,Rawang,Selangor,Leasehold,Town House,310000,250,13
TAMAN SEMARAK MEGAH,Tawau,Sabah,Leasehold,Terrace House,365000,250,12
TABUAN LARU,Kuching,Sarawak,"Freehold, Leasehold","Semi D, Terrace House",509444,250,12
TAMAN TASEK MUTIARA,Ipoh,Perak,Freehold,Terrace House,370000,250,11
